ticker,name,sector,industry,mcap,exch
LDO.MI,Leonardo S.p.a.,Industrials,Aerospace & Defense,32745206041.0,MIL
LDOS,Leidos Holdings Inc.,Industrials,Diversified Support Services,13461560320.0,NYQ
LEA,Lear Corporation,Consumer Discretionary,Automotive Parts & Equipment,6819947008.0,NYQ
LEG,Leggett & Platt Incorporated,Consumer Discretionary,Home Furnishings,1492571069.0,
LEN,Lennar Corporation Class A,Consumer Discretionary,Homebuilding,20300232704.0,NYQ
LFST,LifeStance Health Group Inc.,Health Care,Health Care Services,4087537664.0,NMS
LFUS,Littelfuse Inc.,Information Technology,Electronic Components,10498941952.0,NMS
LGEN.L,Legal & General Group Plc,Financial Services,Asset Management,21807719334.0,LSE
LGIH,LGI Homes Inc.,Consumer Discretionary,Homebuilding,1379765050.0,
LGND,Ligand Pharmaceuticals Incorpor,Healthcare,Biotechnology,6337784832.0,NGM
LH,Labcorp Holdings Inc.,Health Care,Health Care Services,22698420224.0,NYQ
LHO,LaSalle Hotel Properties,,,,
LHX,L3Harris Technologies Inc.,Industrials,Aerospace & Defense,54168977408.0,NYQ
LIF,Life360 Inc.,Information Technology,Application Software,4421899264.0,NMS
LII,Lennox International Inc.,Industrials,Building Products,19210627072.0,NYQ
LIN,Linde plc,Basic Materials,Specialty Chemicals,244946960384.0,NMS
LITE,Lumentum Holdings Inc.,Information Technology,Communications Equipment,62396379136.0,NMS
LKFN,Lakeland Financial Corporation,Financials,Regional Banks,1504780594.0,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,6466591232.0,NMS
LLOY.L,Lloyds Banking Group plc,Financial Services,Banks - Regional,88173591792.0,LSE
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1059905929216.0,NYQ
LMAT,LeMaitre Vascular Inc.,Health Care,Health Care Equipment,2347684864.0,NGM
LMND,Lemonade Inc.,Finance,Property-Casualty Insurers,5416634368.0,NYQ
LMP.L,LondonMetric Property Plc,Real Estate,REIT - Industrial,5972387404.0,LSE
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,120635490304.0,NYQ
